link,nome
http://www.onofreagora.com.br/eletro/produto/1935225/notebook-hp-240-g4-core-i3-4gb-hd-500gb-w10-p7q27lt#ac4,Notebook HP 240 G4 Core i3 4GB HD 500GB W10 P7Q27LT#AC4
http://www.onofreagora.com.br/eletro/produto/1991280/notebook-acer-es-es1-531-c0rk-celeron-qcn3150-4gb-500gb-w10,Notebook Acer ES ES1-531-C0RK Celeron QCN3150 4GB 500GB W10
http://www.onofreagora.com.br/eletro/produto/1932219/notebook-aspire-e5-573-541l-core-i5-grafite-acer,Notebook Aspire E5-573-541L Core i5 Grafite Acer
http://www.onofreagora.com.br/eletro/produto/1925721/notebook-acer-aspire-e5-573g-74q5-i7,Notebook Acer Aspire E5-573G-74Q5 i7
http://www.onofreagora.com.br/eletro/produto/1981663/notebook-acer-aspire-e5-573-32gw-i3,Notebook Acer Aspire E5-573-32GW i3
http://www.onofreagora.com.br/eletro/produto/1932214/notebook-aspire-e5-473-370z-i3-branco-acer,Notebook Aspire E5-473-370Z i3 Branco Acer
http://www.onofreagora.com.br/eletro/produto/1932211/all-in-one-aspire-i3-az1-751-bc5-acer,All-in-One Aspire i3 AZ1-751-BC5 Acer
